game_idx,game_length,positions_analyzed,avg_illegal_prob,max_illegal_prob,failure_count,failure_rate
474,60,56,0.004048939456869343,0.0930830459738432,1,0.017857142857142856
475,60,56,0.004524770188433008,0.06836352809471077,1,0.017857142857142856
476,60,56,0.002526599920262996,0.0756193737381798,1,0.017857142857142856
477,60,56,0.002945005145411898,0.06909653466482643,1,0.017857142857142856
478,60,56,0.011263147219596151,0.4777751051703798,2,0.03571428571428571
479,60,56,0.0031502671886505583,0.029610643409130475,0,0.0
480,60,56,0.00806225388528217,0.061771368959257264,1,0.017857142857142856
481,60,56,0.014887278335545531,0.37020804862725043,3,0.05357142857142857
482,60,56,0.004925443161376758,0.13846049721528883,1,0.017857142857142856
483,58,54,0.007109042603916604,0.113523798912943,2,0.037037037037037035
484,60,56,0.006013321233938258,0.1050227813224535,2,0.03571428571428571
485,60,56,0.001827181955605108,0.030523686359016013,0,0.0
486,60,56,0.003938904086875404,0.056358560042092255,1,0.017857142857142856
487,60,56,0.007049696167672983,0.07358762308513829,3,0.05357142857142857
488,60,56,0.006270703094805041,0.10812353411751449,3,0.05357142857142857
489,60,56,0.010948239259518605,0.2583474549055552,3,0.05357142857142857
490,60,56,0.015039066342016913,0.23512036970675604,5,0.08928571428571429
491,60,56,0.009491560392292311,0.15731337085578947,2,0.03571428571428571
492,60,56,0.005728258662457476,0.0404280812084478,0,0.0
493,48,44,0.003706478832911976,0.03443012113693982,0,0.0
494,60,56,0.02512866750714551,0.3868840833280432,6,0.10714285714285714
495,60,56,0.008408026156051891,0.1821939475082471,3,0.05357142857142857
496,60,56,0.0064266984825297,0.10023314131853311,2,0.03571428571428571
497,60,56,0.0014822994907862548,0.019773648288065715,0,0.0
498,60,56,0.004831130465467813,0.06950619199428479,1,0.017857142857142856
499,60,56,0.01330837234147647,0.23542553074788342,4,0.07142857142857142
500,60,56,0.0070965556971437855,0.0561130134911057,1,0.017857142857142856
501,60,56,0.0007503566140569933,0.005607440729047938,0,0.0
502,60,56,0.007906012547718624,0.1725786417486741,2,0.03571428571428571
503,60,56,0.0025029850971798884,0.02748702493407409,0,0.0
504,60,56,0.002812358879899948,0.040752041797576376,0,0.0
505,60,56,0.004626081813214079,0.12406861823447105,1,0.017857142857142856
506,60,56,0.004415538525592666,0.08779121810550539,1,0.017857142857142856
507,60,56,0.0015310674826279035,0.01567712139858594,0,0.0
508,60,56,0.004327865221497655,0.031211319236766715,0,0.0
509,60,56,0.0049424567176962145,0.048935674596553375,0,0.0
510,58,54,0.009088309090405531,0.13487846835522382,2,0.037037037037037035
511,60,56,0.004417125970600538,0.053515366654220055,1,0.017857142857142856
512,60,56,0.004161894471439182,0.05164866865998058,1,0.017857142857142856
513,60,56,0.006532476401767233,0.1518130558210623,1,0.017857142857142856
514,60,56,0.0024951712421491653,0.025639997134425885,0,0.0
515,60,56,0.004040948003222103,0.06026529281828906,1,0.017857142857142856
516,60,56,0.005827237126841703,0.05690674713560295,1,0.017857142857142856
517,60,56,0.002678625969454017,0.0355301849721137,0,0.0
518,60,56,0.0018141932937972372,0.024061314695497073,0,0.0
519,60,56,0.006310865111110134,0.20502371907934797,1,0.017857142857142856
520,60,56,0.0021964960114320363,0.021974654251410985,0,0.0
521,60,56,0.0034834235264111983,0.04020812438376901,0,0.0
522,60,56,0.0033185793566063355,0.022828329537527278,0,0.0
523,60,56,0.005152625807673846,0.05364299591930177,2,0.03571428571428571
524,60,56,0.0033978877621929976,0.019203707169757608,0,0.0
525,60,56,0.003393582833540932,0.10524480983986427,1,0.017857142857142856
526,60,56,0.0033280561091849534,0.04452749824245487,0,0.0
527,60,56,0.0022746786571826954,0.02036249848461031,0,0.0
528,60,56,0.0023710560600930046,0.049251620708464325,0,0.0
529,60,56,0.004374263320414734,0.05711319664783644,1,0.017857142857142856
530,60,56,0.00305170678681113,0.025693839774216208,0,0.0
531,60,56,0.0034243383163051638,0.06496012768252961,1,0.017857142857142856
532,60,56,0.006258105566815257,0.1675709214923336,2,0.03571428571428571
533,60,56,0.00582418896503599,0.0951213189749145,2,0.03571428571428571
534,58,54,0.006704808312929612,0.08317378014557113,1,0.018518518518518517
535,60,56,0.011917348542245146,0.17219860539745335,5,0.08928571428571429
536,60,56,0.0022751622448942085,0.018360040202706696,0,0.0
537,60,56,0.0016369282174508182,0.01773185245117927,0,0.0
538,60,56,0.0033231436400354025,0.0841638634442859,1,0.017857142857142856
539,60,56,0.0020779031992199585,0.04828420637113734,0,0.0
540,60,56,0.0020631736391308257,0.021611358531902564,0,0.0
541,60,56,0.0018074672131540776,0.027278718461986415,0,0.0
542,60,56,0.0020880924705820618,0.028273990036764486,0,0.0
